frequency,fan_speed,context-switch,cpu-migration,page_fault,cycles,pc1,pc2,instructions,branches,branch-misses,cacher,io,lid,cache-misses,Second,core_2,core_3,core_4,core_1
2394000,3054,4,0,1479,2391744388,1207852039,407128252,2664722345,472160158,15926628,8836138,40,1137710404,502885,1,54,53,53,57
2394000,3054,2,0,1994,2393098246,1241332216,458173296,2532364001,442732081,15442907,11154605,3,1153039738,409572,2,55,55,54,59
2394000,3068,2,0,640,2393674447,1248657111,473160142,2524947232,442655406,15224802,10860123,1,1065929892,766616,3,55,55,54,59
2394000,3068,2,0,1,2393468899,1266908382,479529020,2477992796,435856932,15875722,11846196,2,1043196933,1077137,4,55,55,54,59
2394000,3054,4,0,320,2393422791,1288132585,512956066,2415144255,410267584,16029980,9942719,0,1067291990,1278273,5,55,55,54,59
2394000,3054,2,0,897,2457735472,1291060510,484542150,2537010339,446735480,15664564,11477101,5,1094795162,1033236,6,56,55,55,60
2394000,3068,2,0,1470,2394615720,1294273393,495665504,2447807109,431776786,14080260,9453220,5,1090087560,1331359,7,56,55,55,60
2394000,3068,2,0,659,2394381614,1280110238,477347834,2469981170,439220966,15281923,12359212,3,1035358604,1452722,8,56,55,54,59
2394000,3054,4,0,924,2394290698,1278011287,452624871,2509504981,444235112,14007768,12851625,3,1074421997,882233,9,56,55,54,59
2394000,3062,3,0,626,2407396736,1308956064,495364177,2433557082,429534037.7,14393397.61,12350065.56,4,1042457742,1448150.361,10,56,55,55,60
1596000,3054,2,0,105,1594570756,838611681,296222142,1628041732,275669431,11107602,7971358,5,701510098,963284,1,55,55,54,57
1596000,3054,2,0,7,1593767742,817060988,297077237,1654667368,287117467,10980177,7919380,2,749930190,698867,2,55,55,54,57
1596000,3054,2,0,1008,1593674651,841833919,304730002,1603605168,276012563,11364649,6776795,1,685094341,1024910,3,56,54,54,57
1596000,3054,4,0,201,1593941449,820404225,296217959,1669729598,288293372,10889889,8368139,2,728231678,837921,4,56,55,53,56
1596000,3054,2,0,480,1593700431,859435074,329971839,1627242393,273167278,9776638,7923387,1,692098941,1216945,5,56,55,53,56
1596000,3054,4,0,127,1594367842,854669934,312417623,1637958683,282686889,10141817,9109190,1,731821743,820398,6,54,54,53,57
1596000,3054,2,0,2,1593893412,809816274,289977705,1721075620,304155816,10304288,7998301,0,736901227,800725,7,54,54,53,57
1596000,3054,6,0,55,1594386981,820267813,302926671,1685939993,291459966,10730508,7345046,19,728330697,894665,8,54,54,53,56
1596000,3054,2,0,519,1594055811,845506507,330337354,1592646537,270137258,11027708,6577228,1,694146028,1374223,9,54,54,53,56
1596000,3054,2,0,3919,1594801542,843988514,275226327,1810977734,304220004,8095366,6006732,1,804529014,1383809,10,55,54,53,56
1862000,3054,2,0,2863,1862464928,987240223,368911757,1899091995,337608733,11800697,12434863,1,847625428,1001068,1,54,54,53,57
1862000,3054,4,0,1198,1861240495,1033758463,352382989,1927183869,346910923,9247024,7360702,1,829886625,1512330,2,54,54,53,57
1862000,3054,2,0,1695,1860997020,1028407972,380571230,2052259161,340414976,8312839,6662744,0,941188104,1975760,3,56,55,54,57
1862000,3054,4,0,4049,1861122437,1032316548,426850611,1836291230,318459350,9120575,8721512,0,836781784,3346035,4,56,55,54,57
1862000,3054,2,0,1347,1860714903,1059133294,463997597,1815588921,315735927,9956189,16033507,0,831551565,2567743,5,54,54,53,57
1862000,3054,4,0,1294,1861325346,1017122029,422577260,1852299040,309950191,11946530,11026919,1,808123044,1878103,6,54,55,54,57
1862000,3054,2,0,119,1860474481,1128275367,315993303,1847773667,361292784,5434369,6258821,0,810275721,1392735,7,54,55,54,57
1862000,3054,4,0,317,1861180720,972793795,398279055,1906978612,338292531,11853358,8245262,0,802686420,1608736,8,54,55,53,57
1862000,3054,2,0,0,1860749074,1009943044,378375636,1903683778,316858891,11250592,8710838,0,822762520,1219774,9,54,55,53,57
1862000,3054,4,0,0,1861593490,991406451,389762328,1929523089,333332666,11284865,7400777,1,806262341,1228991,10,54,54,53,57
2128000,3054,2,0,0,2128390451,1148411707,437904291,2125620070,373612004,13950203,9049218,1,912769434,1460494,1,54,54,53,57
2128000,3054,2,0,0,2127557356,1148301834,453902402,2093691354,367590039,14321431,9146597,0,900941121,1623428,2,55,55,54,58
2128000,3054,2,0,0,2126726121,1138562969,463678585,2083244011,359481691,15261461,9297582,2,889279142,1395551,3,56,56,56,58
